ARI Cardinals,0,23
ARI Cardinals,1,11
ARI Cardinals,2,7
ARI Cardinals,3,5.9
ARI Cardinals,4,5.8
ARI Cardinals,5,6
ARI Cardinals,6,7.5
ARI Cardinals,7,10.5
ARI Cardinals,8,14
ARI Cardinals,9,23
ARI Cardinals,10,37
ARI Cardinals,11,66
ARI Cardinals,12,101
ARI Cardinals,13,171
ARI Cardinals,14,301
ARI Cardinals,15,301
ARI Cardinals,16,301
ARI Cardinals,17,301
ATL Falcons,0,301
ATL Falcons,1,141
ATL Falcons,2,61
ATL Falcons,3,31
ATL Falcons,4,17
ATL Falcons,5,13
ATL Falcons,6,9.5
ATL Falcons,7,7.5
ATL Falcons,8,7
ATL Falcons,9,7
ATL Falcons,10,7
ATL Falcons,11,8.5
ATL Falcons,12,10.5
ATL Falcons,13,15
ATL Falcons,14,24
ATL Falcons,15,45
ATL Falcons,16,101
ATL Falcons,17,301
BAL Ravens,17,141
BAL Ravens,16,46
BAL Ravens,15,21
BAL Ravens,14,13
BAL Ravens,13,9.5
BAL Ravens,12,7
BAL Ravens,11,6.5
BAL Ravens,10,6.5
BAL Ravens,9,7.5
BAL Ravens,8,8.5
BAL Ravens,7,11
BAL Ravens,6,16
BAL Ravens,5,24
BAL Ravens,4,42
BAL Ravens,3,81
BAL Ravens,2,171
BAL Ravens,1,301
BAL Ravens,0,301
BUF Bills,17,101
BUF Bills,16,29
BUF Bills,15,16
BUF Bills,14,10
BUF Bills,13,7
BUF Bills,12,6.5
BUF Bills,11,6.5
BUF Bills,10,6.5
BUF Bills,9,8
BUF Bills,8,10.5
BUF Bills,7,15
BUF Bills,6,19
BUF Bills,5,32
BUF Bills,4,51
BUF Bills,3,131
BUF Bills,2,301
BUF Bills,1,301
BUF Bills,0,301
CAR Panthers,0,281
CAR Panthers,1,66
CAR Panthers,2,30
CAR Panthers,3,17
CAR Panthers,4,11
CAR Panthers,5,8.5
CAR Panthers,6,7
CAR Panthers,7,6.5
CAR Panthers,8,7
CAR Panthers,9,7.5
CAR Panthers,10,9
CAR Panthers,11,11
CAR Panthers,12,17
CAR Panthers,13,27
CAR Panthers,14,45
CAR Panthers,15,101
CAR Panthers,16,301
CAR Panthers,17,301
CHI Bears,0,231
CHI Bears,1,66
CHI Bears,2,33
CHI Bears,3,17
CHI Bears,4,11
CHI Bears,5,8.5
CHI Bears,6,7.5
CHI Bears,7,6.5
CHI Bears,8,7
CHI Bears,9,7.5
CHI Bears,10,9
CHI Bears,11,12
CHI Bears,12,17
CHI Bears,13,24
CHI Bears,14,46
CHI Bears,15,101
CHI Bears,16,191
CHI Bears,17,301
CLE Browns,17,301
CLE Browns,16,101
CLE Browns,15,43
CLE Browns,14,20
CLE Browns,13,14
CLE Browns,12,10
CLE Browns,11,7.5
CLE Browns,10,7
CLE Browns,9,7
CLE Browns,8,7.5
CLE Browns,7,8
CLE Browns,6,10
CLE Browns,5,12
CLE Browns,4,21
CLE Browns,3,38
CLE Browns,2,91
CLE Browns,1,231
CLE Browns,0,301
DAL Cowboys,17,151
DAL Cowboys,16,48
DAL Cowboys,15,24
DAL Cowboys,14,14
DAL Cowboys,13,9.5
DAL Cowboys,12,7.5
DAL Cowboys,11,6.5
DAL Cowboys,10,6.5
DAL Cowboys,9,7
DAL Cowboys,8,8
DAL Cowboys,7,11
DAL Cowboys,6,14
DAL Cowboys,5,21
DAL Cowboys,4,37
DAL Cowboys,3,66
DAL Cowboys,2,141
DAL Cowboys,1,301
DAL Cowboys,0,301
DEN Broncos,17,301
DEN Broncos,16,151
DEN Broncos,15,61
DEN Broncos,14,31
DEN Broncos,13,20
DEN Broncos,12,12
DEN Broncos,11,9.5
DEN Broncos,10,7.5
DEN Broncos,9,7
DEN Broncos,8,7
DEN Broncos,7,7
DEN Broncos,6,8
DEN Broncos,5,11
DEN Broncos,4,15
DEN Broncos,3,23
DEN Broncos,2,42
DEN Broncos,1,111
DEN Broncos,0,301
DET Lions,17,301
DET Lions,16,76
DET Lions,15,29
DET Lions,14,16
DET Lions,13,10.5
DET Lions,12,8
DET Lions,11,7
DET Lions,10,7
DET Lions,9,7
DET Lions,8,7.5
DET Lions,7,9.5
DET Lions,6,13
DET Lions,5,17
DET Lions,4,29
DET Lions,3,51
DET Lions,2,91
DET Lions,1,201
DET Lions,0,301
GB Packers,0,201
GB Packers,1,71
GB Packers,2,30
GB Packers,3,18
GB Packers,4,12
GB Packers,5,8.5
GB Packers,6,7.5
GB Packers,7,7
GB Packers,8,7
GB Packers,9,7.5
GB Packers,10,9
GB Packers,11,11
GB Packers,12,17
GB Packers,13,24
GB Packers,14,37
GB Packers,15,81
GB Packers,16,131
GB Packers,17,301
HOU Texans,0,86
HOU Texans,1,26
HOU Texans,2,15
HOU Texans,3,9.5
HOU Texans,4,7
HOU Texans,5,6.5
HOU Texans,6,6.5
HOU Texans,7,7
HOU Texans,8,7.5
HOU Texans,9,11
HOU Texans,10,15
HOU Texans,11,22
HOU Texans,12,35
HOU Texans,13,76
HOU Texans,14,121
HOU Texans,15,301
HOU Texans,16,301
HOU Texans,17,301
IND Colts,0,121
IND Colts,1,40
IND Colts,2,20
IND Colts,3,11
IND Colts,4,8
IND Colts,5,6.5
IND Colts,6,6.5
IND Colts,7,6.5
IND Colts,8,7.5
IND Colts,9,9.5
IND Colts,10,12
IND Colts,11,17
IND Colts,12,27
IND Colts,13,39
IND Colts,14,81
IND Colts,15,141
IND Colts,16,301
IND Colts,17,301
JAX Jaguars,17,201
JAX Jaguars,16,56
JAX Jaguars,15,26
JAX Jaguars,14,14
JAX Jaguars,13,10
JAX Jaguars,12,7.5
JAX Jaguars,11,6.5
JAX Jaguars,10,6.5
JAX Jaguars,9,7
JAX Jaguars,8,8
JAX Jaguars,7,11
JAX Jaguars,6,14
JAX Jaguars,5,19
JAX Jaguars,4,31
JAX Jaguars,3,66
JAX Jaguars,2,111
JAX Jaguars,1,301
JAX Jaguars,0,301
KC Chiefs,17,50
KC Chiefs,16,19
KC Chiefs,15,10
KC Chiefs,14,7.5
KC Chiefs,13,6.5
KC Chiefs,12,6.5
KC Chiefs,11,6.5
KC Chiefs,10,8
KC Chiefs,9,9.5
KC Chiefs,8,13
KC Chiefs,7,20
KC Chiefs,6,29
KC Chiefs,5,49
KC Chiefs,4,101
KC Chiefs,3,151
KC Chiefs,2,301
KC Chiefs,1,301
KC Chiefs,0,301
LV Raiders,0,91
LV Raiders,1,27
LV Raiders,2,15
LV Raiders,3,9
LV Raiders,4,7.5
LV Raiders,5,6.5
LV Raiders,6,6.5
LV Raiders,7,7
LV Raiders,8,8
LV Raiders,9,10.5
LV Raiders,10,16
LV Raiders,11,21
LV Raiders,12,33
LV Raiders,13,51
LV Raiders,14,101
LV Raiders,15,211
LV Raiders,16,301
LV Raiders,17,301
LA Chargers,17,181
LA Chargers,16,56
LA Chargers,15,29
LA Chargers,14,15
LA Chargers,13,11
LA Chargers,12,8
LA Chargers,11,7.5
LA Chargers,10,6.5
LA Chargers,9,6.5
LA Chargers,8,8
LA Chargers,7,10
LA Chargers,6,12
LA Chargers,5,18
LA Chargers,4,30
LA Chargers,3,56
LA Chargers,2,91
LA Chargers,1,301
LA Chargers,0,301
