team,type,line,american,decimal,impliedProb,n,successes,fails,ties,successRate,failRate,tieRate,ev
BAL Ravens,OVER,5.5,-2000,1.05,0.9523809523809523,100000,96817,3183,0,0.96817,0.03183,0,0.016578500000000045
BAL Ravens,UNDER,5.5,900,10,0.1,100000,3183,96817,0,0.03183,0.96817,0,-0.6817
BAL Ravens,OVER,6.5,-1200,1.08333334,0.9230769173964497,100000,92091,7909,0,0.92091,0.07909,0,-0.0023474938605999585
BAL Ravens,UNDER,6.5,650,7.5,0.13333333333333333,100000,7909,92091,0,0.07909,0.92091,0,-0.4068250000000001
BAL Ravens,OVER,7.5,-650,1.15384616,0.8666666620444444,100000,83445,16555,0,0.83445,0.16555,0,-0.037173071787999945
BAL Ravens,UNDER,7.5,400,5,0.2,100000,16555,83445,0,0.16555,0.83445,0,-0.17225000000000001
BAL Ravens,OVER,8.5,-320,1.3125,0.7619047619047619,100000,70119,29881,0,0.70119,0.29881,0,-0.07968812500000003
BAL Ravens,UNDER,8.5,250,3.5,0.2857142857142857,100000,29881,70119,0,0.29881,0.70119,0,0.04583500000000007
BAL Ravens,OVER,9.5,-170,1.5882353,0.629629627297668,100000,53450,46550,0,0.5345,0.4655,0,-0.15108823215000006
BAL Ravens,UNDER,9.5,150,2.5,0.4,100000,46550,53450,0,0.4655,0.5345,0,0.16375000000000006
BAL Ravens,OVER,10.5,100,2,0.5,100000,36042,63958,0,0.36042,0.63958,0,-0.27916
BAL Ravens,UNDER,10.5,-120,1.83333334,0.5454545434710744,100000,63958,36042,0,0.63958,0.36042,0,0.17256333759720005
BAL Ravens,OVER,11.5,175,2.75,0.36363636363636365,100000,20882,79118,0,0.20882,0.79118,0,-0.425745
BAL Ravens,UNDER,11.5,-225,1.44444445,0.6923076896449705,100000,79118,20882,0,0.79118,0.20882,0,0.14281555995099998
BAL Ravens,OVER,12.5,310,4.1,0.24390243902439027,100000,9818,90182,0,0.09818,0.90182,0,-0.5974619999999999
BAL Ravens,UNDER,12.5,-425,1.23529412,0.8095238079818594,100000,90182,9818,0,0.90182,0.09818,0,0.11401294329840002
BAL Ravens,OVER,13.5,600,7,0.14285714285714285,100000,3729,96271,0,0.03729,0.96271,0,-0.7389699999999999
BAL Ravens,UNDER,13.5,-1100,1.0909091,0.9166666590277779,100000,96271,3729,0,0.96271,0.03729,0,0.05022909966099997
BAL Ravens,OVER,14.5,1200,13,0.07692307692307693,100000,1027,98973,0,0.01027,0.98973,0,-0.86649
BAL Ravens,UNDER,14.5,-5000,1.02,0.9803921568627451,100000,98973,1027,0,0.98973,0.01027,0,0.009524600000000017
ARI Cardinals,OVER,2.5,-400,1.25,0.8,100000,92943,7057,0,0.92943,0.07057,0,0.1617875
ARI Cardinals,UNDER,2.5,290,3.9,0.25641025641025644,100000,7057,92943,0,0.07057,0.92943,0,-0.724777
ARI Cardinals,OVER,3.5,-185,1.54054055,0.6491228030317021,100000,84217,15783,0,0.84217,0.15783,0,0.2973970349935
ARI Cardinals,UNDER,3.5,150,2.5,0.4,100000,15783,84217,0,0.15783,0.84217,0,-0.605425
ARI Cardinals,OVER,4.5,100,2,0.5,100000,71391,28609,0,0.71391,0.28609,0,0.42782000000000003
ARI Cardinals,UNDER,4.5,-120,1.83333334,0.5454545434710744,100000,28609,71391,0,0.28609,0.71391,0,-0.47550166475940003
ARI Cardinals,OVER,5.5,180,2.8,0.35714285714285715,100000,55399,44601,0,0.55399,0.44601,0,0.5511719999999999
ARI Cardinals,UNDER,5.5,-235,1.42553192,0.7014925348006237,100000,44601,55399,0,0.44601,0.55399,0,-0.3641985083607999
ARI Cardinals,OVER,6.5,400,5,0.2,100000,39299,60701,0,0.39299,0.60701,0,0.96495
ARI Cardinals,UNDER,6.5,-550,1.18181819,0.846153840295858,100000,60701,39299,0,0.60701,0.39299,0,-0.2826245404881
ARI Cardinals,OVER,7.5,700,8,0.125,100000,24989,75011,0,0.24989,0.75011,0,0.99912
ARI Cardinals,UNDER,7.5,-1400,1.07142858,0.9333333258666666,100000,75011,24989,0,0.75011,0.24989,0,-0.19631070785619995
ATL Falcons,OVER,4.5,-2000,1.05,0.9523809523809523,100000,94815,5185,0,0.94815,0.05185,0,-0.004442499999999953
ATL Falcons,UNDER,4.5,800,9,0.1111111111111111,100000,5185,94815,0,0.05185,0.94815,0,-0.53335
ATL Falcons,OVER,5.5,-800,1.125,0.8888888888888888,100000,88170,11830,0,0.8817,0.1183,0,-0.008087499999999997
ATL Falcons,UNDER,5.5,550,6.5,0.15384615384615385,100000,11830,88170,0,0.1183,0.8817,0,-0.23104999999999998
ATL Falcons,OVER,6.5,-400,1.25,0.8,100000,77347,22653,0,0.77347,0.22653,0,-0.03316250000000001
ATL Falcons,UNDER,6.5,310,4.1,0.24390243902439027,100000,22653,77347,0,0.22653,0.77347,0,-0.07122700000000004
ATL Falcons,OVER,7.5,-220,1.45454546,0.687499997421875,100000,62795,37205,0,0.62795,0.37205,0,-0.08661817839299996
ATL Falcons,UNDER,7.5,180,2.8,0.35714285714285715,100000,37205,62795,0,0.37205,0.62795,0,0.04173999999999989
ATL Falcons,OVER,8.5,-120,1.83333334,0.5454545434710744,100000,46154,53846,0,0.46154,0.53846,0,-0.1538433302564
ATL Falcons,UNDER,8.5,100,2,0.5,100000,53846,46154,0,0.53846,0.46154,0,0.07692000000000004
ATL Falcons,OVER,9.5,145,2.45,0.4081632653061224,100000,29723,70277,0,0.29723,0.70277,0,-0.2717865
ATL Falcons,UNDER,9.5,-165,1.60606061,0.6226415079067283,100000,70277,29723,0,0.70277,0.29723,0,0.1286912148897001
ATL Falcons,OVER,10.5,245,3.45,0.2898550724637681,100000,16672,83328,0,0.16672,0.83328,0,-0.42481599999999997
ATL Falcons,UNDER,10.5,-320,1.3125,0.7619047619047619,100000,83328,16672,0,0.83328,0.16672,0,0.09368000000000001
ATL Falcons,OVER,11.5,450,5.5,0.18181818181818182,100000,7913,92087,0,0.07913,0.92087,0,-0.5647849999999999
ATL Falcons,UNDER,11.5,-650,1.15384616,0.8666666620444444,100000,92087,7913,0,0.92087,0.07913,0,0.06254231335920005
ATL Falcons,OVER,12.5,700,8,0.125,100000,3187,96813,0,0.03187,0.96813,0,-0.74504
ATL Falcons,UNDER,12.5,-1400,1.07142858,0.9333333258666666,100000,96813,3187,0,0.96813,0.03187,0,0.037282151155400074
BUF Bills,OVER,5.5,-10000,1.01,0.9900990099009901,100000,98151,1849,0,0.98151,0.01849,0,-0.00867489999999999
BUF Bills,UNDER,5.5,2000,21,0.047619047619047616,100000,1849,98151,0,0.01849,0.98151,0,-0.61171
BUF Bills,OVER,6.5,-2000,1.05,0.9523809523809523,100000,95022,4978,0,0.95022,0.04978,0,-0.0022689999999999586
BUF Bills,UNDER,6.5,850,9.5,0.10526315789473684,100000,4978,95022,0,0.04978,0.95022,0,-0.52709
BUF Bills,OVER,7.5,-1000,1.1,0.9090909090909091,100000,88596,11404,0,0.88596,0.11404,0,-0.025443999999999925
BUF Bills,UNDER,7.5,600,7,0.14285714285714285,100000,11404,88596,0,0.11404,0.88596,0,-0.20172
BUF Bills,OVER,8.5,-500,1.2,0.8333333333333334,100000,77738,22262,0,0.77738,0.22262,0,-0.06714400000000006
BUF Bills,UNDER,8.5,350,4.5,0.2222222222222222,100000,22262,77738,0,0.22262,0.77738,0,0.0017900000000000693
BUF Bills,OVER,9.5,-250,1.4,0.7142857142857143,100000,62696,37304,0,0.62696,0.37304,0,-0.12225600000000003
BUF Bills,UNDER,9.5,195,2.95,0.3389830508474576,100000,37304,62696,0,0.37304,0.62696,0,0.10046800000000011
BUF Bills,OVER,10.5,-150,1.66666667,0.5999999988,100000,45049,54951,0,0.45049,0.54951,0,-0.2491833318317001
BUF Bills,UNDER,10.5,130,2.3,0.4347826086956522,100000,54951,45049,0,0.54951,0.45049,0,0.26387299999999997
BUF Bills,OVER,11.5,140,2.4,0.4166666666666667,100000,27943,72057,0,0.27943,0.72057,0,-0.32936800000000005
BUF Bills,UNDER,11.5,-165,1.60606061,0.6226415079067283,100000,72057,27943,0,0.72057,0.27943,0,0.1572790937477001
BUF Bills,OVER,12.5,240,3.4,0.29411764705882354,100000,14421,85579,0,0.14421,0.85579,0,-0.5096860000000001
